Order;;AccidentType;AccidentType_de;AccidentType_en;types;AccidentSeverityCategory;AccidentSeverityCategory_de;AccidentSeverityCategory_en;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;AccidentInvolvingMotorcycle;RoadType;RoadType_de;RoadType_en;AccidentLocation_CHLV95_E;AccidentLocation_CHLV95_N;CantonCode;MunicipalityCode;AccidentYear;AccidentMonth;AccidentMonth_de;AccidentWeekDay;AccidentWeekDay_de;AccidentHour;AccidentHour_text;;;
1;BFD7379EBBE9FA9CE053DDB9D80A85FB;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682277;1249216;ZH;261;2021;4;April;aw405;Freitag;12;12h-13h;;;
1;C08D1A779E29F2CCE053DDB9D80A8AC8;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2683729;1249027;ZH;261;2021;4;April;aw405;Freitag;17;17h-18h;;;
1;BFEB9C6B9771C6CAE053DDB9D80A89F2;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683251;1249256;ZH;261;2021;4;April;aw405;Freitag;17;17h-18h;;;
1;C1F401A82BAB202FE053DDB9D80A09E0;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681630;1245821;ZH;261;2021;4;April;aw401;Montag;17;17h-18h;;;
2;BF8406C53EB2BE5FE053DDB9D80A7B29;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682946;1251552;ZH;261;2021;4;April;aw405;Freitag;17;17h-18h;;;
2;BFD866DF2A9D19B0E053DDB9D80AFDE9;at3;Abbiegeunfall;Accident when turning left or right;Turning;as4;Unfall mit Sachschaden;Accident with property damage;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2680070;1246939;ZH;261;2021;4;April;aw405;Freitag;18;18h-19h;;;
1;C116BF31947F0C0BE053DDB9D80ADF5B;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2681965;1248202;ZH;261;2021;4;April;aw407;Sonntag;13;13h-14h;;;
1;CAC090FC4C812BDBE053DDB9D80A9BE4;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;TRUE;rt433;Nebenstrasse;Minor road;2681178;1248413;ZH;261;2021;4;April;aw407;Sonntag;13;13h-14h;;;
1;C0DB8B7A34753081E053DDB9D80A3A7F;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683931;1246414;ZH;261;2021;4;April;aw404;Donnerstag;9;09h-10h;;;
1;C061484C13C80C29E053DDB9D80A40A4;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680993;1248364;ZH;261;2021;4;April;aw405;Freitag;14;14h-15h;;;
3;C2AFA49675138F58E053DDB9D80A68FA;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682423;1252151;ZH;261;2021;4;April;aw405;Freitag;19;19h-20h;;;
1;C34F11E960C81C69E053DDB9D80AD96A;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2684933;1244701;ZH;261;2021;4;April;aw401;Montag;9;09h-10h;;;
1;C18F4F1554C71D7DE053DDB9D80A77E0;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt439;andere;Other;2680334;1243512;ZH;261;2021;4;April;aw402;Dienstag;10;10h-11h;;;
4;C0CBDE09819E6CAAE053DDB9D80A8206;at5;Überqueren der Fahrbahn;Accident when crossing the lane(s);crossing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2680641;1246133;ZH;261;2021;4;April;aw404;Donnerstag;12;12h-13h;;;
1;C5392C21BD29ABC3E053DDB9D80A54D7;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as2;Unfall mit Schwerverletzten;Accident with severe injuries;FALSE;TRUE;FALSE;rt439;andere;Other;2681796;1245872;ZH;261;2021;4;April;aw405;Freitag;13;13h-14h;;;
3;C04DAE8E58B422FBE053DDB9D80A1238;at1;Überholunfall oder Fahrstreifenwechsel;Accident when overtaking or changing lanes;overtaking/changing lanes;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2682574;1250167;ZH;261;2021;4;April;aw405;Freitag;15;15h-16h;;;
2;C389C0C9D965E967E053DDB9D80A7695;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2679527;1246772;ZH;261;2021;4;April;aw405;Freitag;19;19h-20h;;;
2;CAAF1AAE09F02BB3E053DDB9D80A2FD3;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2682716;1246402;ZH;261;2021;4;April;aw406;Samstag;15;15h-16h;;;
1;C3D74BE2D06A2B3BE053DDB9D80AD6AF;at0;Schleuder- oder Selbstunfall;Accident with skidding or self-accident;Skidding/Self-accident;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt433;Nebenstrasse;Minor road;2683488;1248197;ZH;261;2021;4;April;aw406;Samstag;20;20h-21h;;;
2;C1A2F3B529A71C98E053DDB9D80AD925;at3;Abbiegeunfall;Accident when turning left or right;Turning;as3;Unfall mit Leichtverletzten;Accident with light injuries;FALSE;TRUE;FALSE;rt432;Hauptstrasse;Principal road;2681511;1252041;ZH;261;2021;4;April;aw401;Montag;8;08h-09h;;;
